iter	TotalF1	MultiClass
0	0.597504264	1.080465299
1	0.599593506	1.068381979
2	0.607039602	1.052612856
3	0.6060266909	1.038488423
4	0.6157726881	1.0261829
5	0.624996282	1.01694209
6	0.6192287239	1.005310498
7	0.6134761774	0.9952574652
8	0.6174179525	0.9856610508
9	0.6316927697	0.9756891216
10	0.6346758014	0.9669374758
11	0.6371280062	0.9586729205
12	0.6434146804	0.9511756448
13	0.6371678484	0.9436544741
14	0.6386854823	0.9377962168
15	0.6376679974	0.9300419757
16	0.6382237644	0.9244642878
17	0.6456603205	0.9156365184
18	0.6471156399	0.9092317596
19	0.650631905	0.9035732595
20	0.6488049079	0.8983499845
21	0.6482526898	0.8934606542
22	0.6492583335	0.8880030821
23	0.6471312378	0.8850357154
24	0.6535986798	0.8809763076
25	0.6527572739	0.8781177929
26	0.6547598633	0.8744315865
27	0.6565201991	0.8699178759
28	0.6573508439	0.8663018362
29	0.6569081	0.8626169048
30	0.6563895603	0.8595613421
31	0.656702134	0.8576197692
32	0.6581532664	0.8550651578
33	0.659669768	0.8529149247
34	0.6613393067	0.8499887479
35	0.6645986471	0.8471762445
36	0.6600885492	0.8446430843
37	0.6657093972	0.8410011336
38	0.6659243491	0.8378435632
39	0.6636588683	0.8354473571
40	0.6669746589	0.8328798893
41	0.6673691888	0.8305118532
42	0.6660031579	0.82763983
43	0.6681947922	0.8252353285
44	0.6668717051	0.8224793493
45	0.6696907412	0.8197468067
46	0.6696354301	0.8183854987
47	0.6702787134	0.8158335359
48	0.6738140896	0.8141285008
49	0.6741400355	0.8131127193
50	0.672714934	0.8099474875
51	0.6743500826	0.8077549325
52	0.6729053667	0.8056751649
53	0.672696154	0.8030658729
54	0.6754325769	0.8011342775
55	0.676550988	0.7990000903
56	0.6787150525	0.7970923567
57	0.678279724	0.7957827358
58	0.6788974669	0.7942620184
59	0.683534117	0.7926847819
60	0.6842170922	0.7909078659
61	0.6866905817	0.7882880302
62	0.6841848534	0.7867283523
63	0.6853046135	0.7854700257
64	0.6831356362	0.7828267076
65	0.685479319	0.7799948578
66	0.6862815006	0.7782640237
67	0.686592229	0.7763741026
68	0.6860941659	0.7753259204
69	0.6838419076	0.7732768202
70	0.6865538906	0.7721505787
71	0.688702531	0.7709969909
72	0.689245921	0.7695263527
73	0.6909772745	0.7682017101
74	0.6881669155	0.7668566915
75	0.6909885026	0.7658944993
76	0.6917004971	0.7642269289
77	0.6929745958	0.763155093
78	0.6929569102	0.761467342
79	0.69314395	0.7603748943
80	0.6934632817	0.7588748818
