iter	Passed	Remaining
0	99	49711
1	157	39149
2	212	35132
3	264	32770
4	320	31774
5	384	31683
6	450	31702
7	545	33550
8	653	35658
9	728	35675
10	795	35373
11	858	34911
12	924	34647
13	984	34193
14	1041	33685
15	1096	33181
16	1159	32936
17	1223	32749
18	1282	32468
19	1345	32302
20	1401	31969
21	1454	31598
22	1508	31279
23	1559	30935
24	1611	30620
25	1664	30348
26	1717	30083
27	1770	29840
28	1822	29605
29	1876	29398
30	1934	29259
31	1989	29103
32	2042	28904
33	2097	28748
34	2151	28579
35	2206	28443
36	2259	28270
37	2312	28110
38	2364	27953
39	2417	27798
40	2469	27649
41	2524	27526
42	2576	27388
43	2629	27253
44	2682	27120
45	2738	27023
46	2791	26905
47	2843	26777
48	2897	26666
49	2951	26562
50	3003	26443
51	3057	26339
52	3110	26231
53	3161	26113
54	3214	26008
55	3266	25895
56	3318	25789
57	3371	25692
58	3423	25592
59	3476	25495
60	3530	25407
61	3583	25312
62	3636	25221
63	3689	25135
64	3742	25046
65	3796	24962
66	3849	24880
67	3902	24795
68	3955	24705
69	4012	24645
70	4064	24556
71	4117	24478
72	4171	24402
73	4226	24328
74	4278	24243
75	4330	24161
76	4382	24074
77	4434	23990
78	4486	23910
79	4538	23827
80	4591	23751
